Treatment,lentil_GP,Wheat_GP,Mustard_GP,Maize_GP,lentil_RL,Wheat_RL,Mustard_RL,Maize_RL,lentil_SL,Wheat_SL,Mustard_SL,Maize_SL
Control,100.0,100,100.0,75.0,2.45,2.500,2.05,6.50,1.77,2.20,2.00,1.02
Control,100.0,90,80.0,70.0,1.44,1.810,3.74,2.05,1.84,2.31,1.75,1.75
Control,100.0,95,100.0,66.5,2.50,2.640,3.50,4.75,1.90,2.20,2.55,1.63
Control,100.0,95,100.0,78.5,2.45,3.770,4.75,4.74,2.13,2.45,1.82,2.20
1.25%,92.5,95,92.5,40.0,1.19,2.300,3.10,5.32,0.75,2.00,1.75,1.80
1.25%,99.0,80,80.5,50.0,2.09,2.090,3.94,5.80,1.35,2.10,3.40,2.25
1.25%,79.0,90,67.0,48.5,1.45,2.700,2.50,5.30,1.10,2.50,2.45,2.45
1.25%,99.5,85,100.0,69.5,1.55,1.350,3.30,3.70,1.00,2.00,1.68,2.54
2.5%,95.0,80,89.5,55.0,1.10,0.250,2.55,2.80,0.75,1.55,2.60,1.75
2.5%,100.0,75,78.5,64.0,1.46,0.250,3.70,3.70,0.95,1.65,1.88,1.88
2.5%,87.0,80,93.5,51.0,1.04,0.450,1.74,3.78,0.75,1.50,2.75,1.40
2.5%,98.0,80,98.5,70.0,1.00,0.050,2.65,3.80,0.59,1.78,2.93,2.25
5%,80.0,65,67.0,35.0,0.65,0.230,1.54,1.75,0.55,1.69,1.98,1.50
5%,75.0,70,80.5,34.5,0.69,0.045,0.94,2.04,0.73,1.20,0.95,1.26
5%,73.5,65,69.0,34.0,0.62,0.200,2.56,2.10,0.65,0.85,2.10,1.56
5%,91.5,70,50.0,44.5,0.68,0.365,1.20,2.35,0.43,1.30,2.85,1.40
