Geneid,Length,Description
TRINITY_DN217585_c0_g1_i1,8305,DnaJ homolog subfamily C GRV2
TRINITY_DN217545_c0_g1_i1,7968,Serine/threonine-protein kinase TOR
TRINITY_DN216319_c1_g1_i5,7884,Piezo-type mechanosensitive ion channel homolog
TRINITY_DN217882_c0_g1_i2,7548,Protein SWEETIE
TRINITY_DN217115_c0_g1_i1,7043,"Leucine--tRNA ligase, chloroplastic/mitochondrial"
TRINITY_DN199010_c1_g1_i2,7038,NA
TRINITY_DN218237_c1_g1_i11,6808,Nuclear pore complex protein NUP214
TRINITY_DN217343_c2_g2_i6,6759,Protein TSS
TRINITY_DN212610_c0_g1_i4,6142,Protein NRT1/ PTR FAMILY 6.3
TRINITY_DN216984_c0_g2_i1,5925,NA
TRINITY_DN214021_c0_g1_i2,5832,Protein transport protein sec23-1
TRINITY_DN205496_c0_g1_i3,5640,Probable phospholipid-transporting ATPase 4
TRINITY_DN217941_c2_g1_i4,5618,Increased DNA methylation 1
TRINITY_DN216187_c0_g1_i2,5604,"ATP synthase subunit beta, chloroplastic"
TRINITY_DN217684_c1_g1_i3,5362,NA
TRINITY_DN212283_c0_g1_i7,5308,Endoribonuclease Dicer homolog 1
TRINITY_DN217848_c4_g1_i1,5228,"Acetyl-CoA acetyltransferase, cytosolic 1"
TRINITY_DN217106_c0_g1_i5,5208,S phase cyclin A-associated protein in the endoplasmic reticulum
TRINITY_DN205074_c0_g1_i19,5116,Zinc finger BED domain-containing protein RICESLEEPER 3
TRINITY_DN214667_c0_g1_i2,5086,Helicase protein MOM1
TRINITY_DN216182_c0_g1_i1,5064,Proton pump-interactor 1
TRINITY_DN213437_c0_g1_i5,5055,Transposon Ty3-G Gag-Pol polyprotein
TRINITY_DN201752_c0_g1_i1,5027,Pentatricopeptide repeat-containing protein At4g30700
TRINITY_DN190299_c0_g2_i1,5022,Zinc import ATP-binding protein ZnuC
TRINITY_DN199186_c0_g1_i7,4973,CCR4-NOT transcription complex subunit 1
TRINITY_DN217927_c3_g1_i6,4964,"DExH-box ATP-dependent RNA helicase DExH7, chloroplastic"
TRINITY_DN217849_c1_g1_i1,4903,Hexose carrier protein HEX6
TRINITY_DN214364_c0_g2_i5,4884,Probable LRR receptor-like serine/threonine-protein kinase At3g47570
TRINITY_DN217233_c2_g1_i1,4875,"Magnesium-chelatase subunit ChlH, chloroplastic"
TRINITY_DN213651_c0_g2_i18,4846,"Ribonuclease E/G-like protein, chloroplastic"
TRINITY_DN211434_c1_g1_i3,4692,Phospholipase A I
TRINITY_DN202458_c2_g1_i2,4682,Eukaryotic translation initiation factor 4 gamma 2
TRINITY_DN210822_c0_g1_i2,4668,DNA polymerase epsilon catalytic subunit A
TRINITY_DN217442_c3_g1_i4,4600,Uncharacterized protein At4g10930
TRINITY_DN215348_c0_g1_i4,4505,"Putative pentatricopeptide repeat-containing protein At5g08310, mitochondrial"
TRINITY_DN216950_c2_g2_i4,4473,Probable inactive DNA (cytosine-5)-methyltransferase DRM3
TRINITY_DN205084_c0_g1_i22,4461,Replication protein A 70 kDa DNA-binding subunit B
TRINITY_DN214601_c0_g1_i8,4390,Histone-lysine N-methyltransferase SUVR4
TRINITY_DN214783_c1_g1_i6,4382,Putative disease resistance RPP13-like protein 1
TRINITY_DN212597_c0_g1_i5,4339,"Phosphoglucan, water dikinase, chloroplastic"
TRINITY_DN209980_c0_g1_i2,4319,Endonuclease MutS2
TRINITY_DN202822_c0_g4_i2,4319,Transposon Ty3-I Gag-Pol polyprotein
TRINITY_DN214981_c1_g1_i2,4305,NA
TRINITY_DN185710_c0_g1_i1,4261,Putative ribonuclease H protein At1g65750
TRINITY_DN211219_c1_g2_i12,4205,Fanconi anemia group J protein homolog
TRINITY_DN188208_c0_g1_i1,4198,Malate dehydrogenase
TRINITY_DN187669_c1_g1_i1,4198,Isoleucine--tRNA ligase
TRINITY_DN195152_c2_g1_i1,4196,NA
TRINITY_DN216369_c2_g1_i1,4195,Regulator of nonsense transcripts 1 homolog
TRINITY_DN215981_c0_g2_i8,4175,Putative disease resistance protein RGA4
TRINITY_DN187618_c0_g1_i1,4147,ATP phosphoribosyltransferase
TRINITY_DN204449_c1_g7_i1,4147,Transposon Ty3-G Gag-Pol polyprotein
